"subject","hem","roi","cyto","domain","group","tract","percentage"
"TL24/TL24_150310_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",6.42129992169146
"TL24/TL24_150310_time_01_1","lh","mFus-faces","FG4","face","adult","AF",20.7517619420517
"TL24/TL24_150310_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",61.9420516836335
"TL24/TL24_150310_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",5.48159749412686
"JG24/JG24_140117_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0
"JG24/JG24_140117_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",16.390423572744
"JG24/JG24_140117_time_01_1","lh","mFus-faces","FG4","face","adult","AF",33.0877839165132
"JG24/JG24_140117_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",49.9693063228975
"JG24/JG24_140117_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",0.122774708410068
"AMWS24/AMWS24_140611_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0.4
"AMWS24/AMWS24_140611_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",12.6
"AMWS24/AMWS24_140611_time_01_1","lh","mFus-faces","FG4","face","adult","AF",5.2
"AMWS24/AMWS24_140611_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",22.6
"AMWS24/AMWS24_140611_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",58.2
"BM24/BM24_150726_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0
"BM24/BM24_150726_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",12.9807692307692
"BM24/BM24_150726_time_01_1","lh","mFus-faces","FG4","face","adult","AF",31.9711538461538
"BM24/BM24_150726_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",54.4471153846154
"BM24/BM24_150726_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",0
"NC24/NC24_150321_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0
"NC24/NC24_150321_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",19.250645994832
"NC24/NC24_150321_time_01_1","lh","mFus-faces","FG4","face","adult","AF",26.2273901808786
"NC24/NC24_150321_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",53.2299741602067
"NC24/NC24_150321_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",0
"CB24/CB24_151102_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0.1085776330076
"CB24/CB24_151102_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",6.94896851248643
"CB24/CB24_151102_time_01_1","lh","mFus-faces","FG4","face","adult","AF",35.1791530944625
"CB24/CB24_151102_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",55.971769815418
"CB24/CB24_151102_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",0.271444082519001
"CR24/CR24_150307_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0
"CR24/CR24_150307_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",22.108843537415
"CR24/CR24_150307_time_01_1","lh","mFus-faces","FG4","face","adult","AF",6.12244897959184
"CR24/CR24_150307_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",52.7210884353742
"CR24/CR24_150307_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",14.2857142857143
"AI24/AI24_150309_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0.775193798449612
"AI24/AI24_150309_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",28.6821705426357
"AI24/AI24_150309_time_01_1","lh","mFus-faces","FG4","face","adult","AF",13.953488372093
"AI24/AI24_150309_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",53.4883720930233
"AI24/AI24_150309_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",1.55038759689922
"AD25/AD25_150226_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",2.56410256410256
"AD25/AD25_150226_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",25.6410256410256
"AD25/AD25_150226_time_01_1","lh","mFus-faces","FG4","face","adult","AF",0
"AD25/AD25_150226_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",41.025641025641
"AD25/AD25_150226_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",30.7692307692308
"MB26/MB26_150426_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0
"MB26/MB26_150426_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",9.25572519083969
"MB26/MB26_150426_time_01_1","lh","mFus-faces","FG4","face","adult","AF",35.4325699745547
"MB26/MB26_150426_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",55.1526717557252
"MB26/MB26_150426_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",0
"MC26/MC26_150211_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0
"MC26/MC26_150211_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",25.2747252747253
"MC26/MC26_150211_time_01_1","lh","mFus-faces","FG4","face","adult","AF",14.010989010989
"MC26/MC26_150211_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",59.3406593406593
"MC26/MC26_150211_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",0.824175824175824
"MMC27/MMC27_150321_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0
"MMC27/MMC27_150321_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",18.8311688311688
"MMC27/MMC27_150321_time_01_1","lh","mFus-faces","FG4","face","adult","AF",3.8961038961039
"MMC27/MMC27_150321_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",49.3506493506493
"MMC27/MMC27_150321_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",27.2727272727273
"MSH28/MSH28_150401_time_01_1","lh","mFus-faces","FG4","face","adult","IFOF",0.6
"MSH28/MSH28_150401_time_01_1","lh","mFus-faces","FG4","face","adult","ILF",8.6
"MSH28/MSH28_150401_time_01_1","lh","mFus-faces","FG4","face","adult","AF",14.2
"MSH28/MSH28_150401_time_01_1","lh","mFus-faces","FG4","face","adult","pAF",63.8
"MSH28/MSH28_150401_time_01_1","lh","mFus-faces","FG4","face","adult","VOF",6.4
"ZCM05","lh","mFus-faces","FG4","face","kid","IFOF",0
"ZCM05","lh","mFus-faces","FG4","face","kid","ILF",12.8205128205128
"ZCM05","lh","mFus-faces","FG4","face","kid","AF",3.58974358974359
"ZCM05","lh","mFus-faces","FG4","face","kid","pAF",32.3076923076923
"ZCM05","lh","mFus-faces","FG4","face","kid","VOF",51.2820512820513
"RHSA06","lh","mFus-faces","FG4","face","kid","IFOF",0
"RHSA06","lh","mFus-faces","FG4","face","kid","ILF",13.708579210168
"RHSA06","lh","mFus-faces","FG4","face","kid","AF",17.5669541534271
"RHSA06","lh","mFus-faces","FG4","face","kid","pAF",58.3295506128007
"RHSA06","lh","mFus-faces","FG4","face","kid","VOF",10.3041307308216
"INW06","lh","mFus-faces","FG4","face","kid","IFOF",0
"INW06","lh","mFus-faces","FG4","face","kid","ILF",27.8688524590164
"INW06","lh","mFus-faces","FG4","face","kid","AF",9.83606557377049
"INW06","lh","mFus-faces","FG4","face","kid","pAF",62.2950819672131
"INW06","lh","mFus-faces","FG4","face","kid","VOF",0
"SM08","lh","mFus-faces","FG4","face","kid","IFOF",0
"SM08","lh","mFus-faces","FG4","face","kid","ILF",7.12861415752742
"SM08","lh","mFus-faces","FG4","face","kid","AF",14.2572283150548
"SM08","lh","mFus-faces","FG4","face","kid","pAF",60.8175473579262
"SM08","lh","mFus-faces","FG4","face","kid","VOF",16.7996011964108
"MDT09","lh","mFus-faces","FG4","face","kid","IFOF",0
"MDT09","lh","mFus-faces","FG4","face","kid","ILF",70.2917771883289
"MDT09","lh","mFus-faces","FG4","face","kid","AF",3.97877984084881
"MDT09","lh","mFus-faces","FG4","face","kid","pAF",24.1379310344828
"MDT09","lh","mFus-faces","FG4","face","kid","VOF",0.26525198938992
"LEE09","lh","mFus-faces","FG4","face","kid","IFOF",0
"LEE09","lh","mFus-faces","FG4","face","kid","ILF",1.95810564663024
"LEE09","lh","mFus-faces","FG4","face","kid","AF",17.5318761384335
"LEE09","lh","mFus-faces","FG4","face","kid","pAF",74.2258652094718
"LEE09","lh","mFus-faces","FG4","face","kid","VOF",6.28415300546448
"GEJA09","lh","mFus-faces","FG4","face","kid","IFOF",0
"GEJA09","lh","mFus-faces","FG4","face","kid","ILF",8.81987577639751
"GEJA09","lh","mFus-faces","FG4","face","kid","AF",21.7391304347826
"GEJA09","lh","mFus-faces","FG4","face","kid","pAF",69.3167701863354
"GEJA09","lh","mFus-faces","FG4","face","kid","VOF",0
"AG10","lh","mFus-faces","FG4","face","kid","IFOF",0
"AG10","lh","mFus-faces","FG4","face","kid","ILF",18.657937806874
"AG10","lh","mFus-faces","FG4","face","kid","AF",18.1669394435352
"AG10","lh","mFus-faces","FG4","face","kid","pAF",54.3371522094926
"AG10","lh","mFus-faces","FG4","face","kid","VOF",8.67430441898527
"STM10","lh","mFus-faces","FG4","face","kid","IFOF",0.0548245614035088
"STM10","lh","mFus-faces","FG4","face","kid","ILF",11.6228070175439
"STM10","lh","mFus-faces","FG4","face","kid","AF",17.6535087719298
"STM10","lh","mFus-faces","FG4","face","kid","pAF",61.4583333333333
"STM10","lh","mFus-faces","FG4","face","kid","VOF",9.21052631578947
"SERA10","lh","mFus-faces","FG4","face","kid","IFOF",0
"SERA10","lh","mFus-faces","FG4","face","kid","ILF",5.7443915703603
"SERA10","lh","mFus-faces","FG4","face","kid","AF",16.9272603670972
"SERA10","lh","mFus-faces","FG4","face","kid","pAF",51.9374575118967
"SERA10","lh","mFus-faces","FG4","face","kid","VOF",25.0849762066621
"KW10","lh","mFus-faces","FG4","face","kid","IFOF",0
"KW10","lh","mFus-faces","FG4","face","kid","ILF",16.148445336008
"KW10","lh","mFus-faces","FG4","face","kid","AF",11.6349047141424
"KW10","lh","mFus-faces","FG4","face","kid","pAF",55.8676028084253
"KW10","lh","mFus-faces","FG4","face","kid","VOF",12.8385155466399
"NW10","lh","mFus-faces","FG4","face","kid","IFOF",0
"NW10","lh","mFus-faces","FG4","face","kid","ILF",7.68917819365338
"NW10","lh","mFus-faces","FG4","face","kid","AF",13.4662327095199
"NW10","lh","mFus-faces","FG4","face","kid","pAF",76.20016273393
"NW10","lh","mFus-faces","FG4","face","kid","VOF",2.35964198535395
"RJM10","lh","mFus-faces","FG4","face","kid","IFOF",0
"RJM10","lh","mFus-faces","FG4","face","kid","ILF",17.7693761814745
"RJM10","lh","mFus-faces","FG4","face","kid","AF",15.406427221172
"RJM10","lh","mFus-faces","FG4","face","kid","pAF",66.7296786389414
"RJM10","lh","mFus-faces","FG4","face","kid","VOF",0
"AyS10","lh","mFus-faces","FG4","face","kid","IFOF",0
"AyS10","lh","mFus-faces","FG4","face","kid","ILF",7.61843790012804
"AyS10","lh","mFus-faces","FG4","face","kid","AF",27.2087067861716
"AyS10","lh","mFus-faces","FG4","face","kid","pAF",63.1241997439181
"AyS10","lh","mFus-faces","FG4","face","kid","VOF",1.98463508322663
"CGSA11","lh","mFus-faces","FG4","face","kid","IFOF",0
"CGSA11","lh","mFus-faces","FG4","face","kid","ILF",11.3972463029067
"CGSA11","lh","mFus-faces","FG4","face","kid","AF",43.0392656807751
"CGSA11","lh","mFus-faces","FG4","face","kid","pAF",45.1810300866905
"CGSA11","lh","mFus-faces","FG4","face","kid","VOF",0.12748597654258
"JTE11","lh","mFus-faces","FG4","face","kid","IFOF",0.0890075656430797
