"subject","hem","roi","cyto","domain","group","tract","percentage"
"AMWS24/AMWS24_140611_time_01_1","rh","mFus-faces","FG4","face","adult","pAF",58.8148148148148
"AMWS24/AMWS24_140611_time_01_1","rh","mFus-faces","FG4","face","adult","VOF",16.8888888888889
"BM24/BM24_150726_time_01_1","rh","mFus-faces","FG4","face","adult","IFOF",0
"BM24/BM24_150726_time_01_1","rh","mFus-faces","FG4","face","adult","ILF",2.99177262528048
"BM24/BM24_150726_time_01_1","rh","mFus-faces","FG4","face","adult","AF",27.8982797307405
"BM24/BM24_150726_time_01_1","rh","mFus-faces","FG4","face","adult","pAF",69.035153328347
"BM24/BM24_150726_time_01_1","rh","mFus-faces","FG4","face","adult","VOF",0.074794315632012
"NC24/NC24_150321_time_01_1","rh","mFus-faces","FG4","face","adult","IFOF",0
"NC24/NC24_150321_time_01_1","rh","mFus-faces","FG4","face","adult","ILF",13.0105900151286
"NC24/NC24_150321_time_01_1","rh","mFus-faces","FG4","face","adult","AF",6.95915279878971
"NC24/NC24_150321_time_01_1","rh","mFus-faces","FG4","face","adult","pAF",78.8199697428139
"NC24/NC24_150321_time_01_1","rh","mFus-faces","FG4","face","adult","VOF",0.605143721633888
"CB24/CB24_151102_time_01_1","rh","mFus-faces","FG4","face","adult","IFOF",0
"CB24/CB24_151102_time_01_1","rh","mFus-faces","FG4","face","adult","ILF",5.29595015576324
"CB24/CB24_151102_time_01_1","rh","mFus-faces","FG4","face","adult","AF",25.8566978193146
"CB24/CB24_151102_time_01_1","rh","mFus-faces","FG4","face","adult","pAF",68.8473520249221
"CB24/CB24_151102_time_01_1","rh","mFus-faces","FG4","face","adult","VOF",0
"CR24/CR24_150307_time_01_1","rh","mFus-faces","FG4","face","adult","IFOF",0
"CR24/CR24_150307_time_01_1","rh","mFus-faces","FG4","face","adult","ILF",17.8041543026706
"CR24/CR24_150307_time_01_1","rh","mFus-faces","FG4","face","adult","AF",11.1275964391691
"CR24/CR24_150307_time_01_1","rh","mFus-faces","FG4","face","adult","pAF",51.9287833827893
"CR24/CR24_150307_time_01_1","rh","mFus-faces","FG4","face","adult","VOF",17.3590504451039
"AI24/AI24_150309_time_01_1","rh","mFus-faces","FG4","face","adult","IFOF",0
"AI24/AI24_150309_time_01_1","rh","mFus-faces","FG4","face","adult","ILF",34.9593495934959
"AI24/AI24_150309_time_01_1","rh","mFus-faces","FG4","face","adult","AF",5.96205962059621
"AI24/AI24_150309_time_01_1","rh","mFus-faces","FG4","face","adult","pAF",55.5555555555556
"AI24/AI24_150309_time_01_1","rh","mFus-faces","FG4","face","adult","VOF",3.5230352303523
"AD25/AD25_150226_time_01_1","rh","mFus-faces","FG4","face","adult","IFOF",0.123304562268804
"AD25/AD25_150226_time_01_1","rh","mFus-faces","FG4","face","adult","ILF",13.6868064118372
"AD25/AD25_150226_time_01_1","rh","mFus-faces","FG4","face","adult","AF",15.5363748458693
"AD25/AD25_150226_time_01_1","rh","mFus-faces","FG4","face","adult","pAF",69.6670776818742
"AD25/AD25_150226_time_01_1","rh","mFus-faces","FG4","face","adult","VOF",0.61652281134402
"MB26/MB26_150426_time_01_1","rh","mFus-faces","FG4","face","adult","IFOF",0
"MB26/MB26_150426_time_01_1","rh","mFus-faces","FG4","face","adult","ILF",4.70016207455429
"MB26/MB26_150426_time_01_1","rh","mFus-faces","FG4","face","adult","AF",23.581847649919
"MB26/MB26_150426_time_01_1","rh","mFus-faces","FG4","face","adult","pAF",71.4748784440843
"MB26/MB26_150426_time_01_1","rh","mFus-faces","FG4","face","adult","VOF",0.0810372771474878
"MC26/MC26_150211_time_01_1","rh","mFus-faces","FG4","face","adult","IFOF",0
"MC26/MC26_150211_time_01_1","rh","mFus-faces","FG4","face","adult","ILF",14.8487626031164
"MC26/MC26_150211_time_01_1","rh","mFus-faces","FG4","face","adult","AF",15.1237396883593
"MC26/MC26_150211_time_01_1","rh","mFus-faces","FG4","face","adult","pAF",64.3446379468378
"MC26/MC26_150211_time_01_1","rh","mFus-faces","FG4","face","adult","VOF",5.68285976168653
"MMC27/MMC27_150321_time_01_1","rh","mFus-faces","FG4","face","adult","IFOF",0
"MMC27/MMC27_150321_time_01_1","rh","mFus-faces","FG4","face","adult","ILF",22.9681978798587
"MMC27/MMC27_150321_time_01_1","rh","mFus-faces","FG4","face","adult","AF",10.2473498233216
"MMC27/MMC27_150321_time_01_1","rh","mFus-faces","FG4","face","adult","pAF",65.7243816254417
"MMC27/MMC27_150321_time_01_1","rh","mFus-faces","FG4","face","adult","VOF",1.06007067137809
"ZCM05","rh","mFus-faces","FG4","face","kid","IFOF",0
"ZCM05","rh","mFus-faces","FG4","face","kid","ILF",6.14250614250614
"ZCM05","rh","mFus-faces","FG4","face","kid","AF",16.2162162162162
"ZCM05","rh","mFus-faces","FG4","face","kid","pAF",76.4946764946765
"ZCM05","rh","mFus-faces","FG4","face","kid","VOF",1.14660114660115
"MEC05","rh","mFus-faces","FG4","face","kid","IFOF",0
"MEC05","rh","mFus-faces","FG4","face","kid","ILF",6.53710247349823
"MEC05","rh","mFus-faces","FG4","face","kid","AF",8.30388692579505
"MEC05","rh","mFus-faces","FG4","face","kid","pAF",76.678445229682
"MEC05","rh","mFus-faces","FG4","face","kid","VOF",8.48056537102473
"RHSA06","rh","mFus-faces","FG4","face","kid","IFOF",0.0414421881475342
"RHSA06","rh","mFus-faces","FG4","face","kid","ILF",7.08661417322835
"RHSA06","rh","mFus-faces","FG4","face","kid","AF",24.5337753833402
"RHSA06","rh","mFus-faces","FG4","face","kid","pAF",64.6912556983009
"RHSA06","rh","mFus-faces","FG4","face","kid","VOF",3.64691255698301
"AlS07","rh","mFus-faces","FG4","face","kid","IFOF",0
"AlS07","rh","mFus-faces","FG4","face","kid","ILF",5.82479030754893
"AlS07","rh","mFus-faces","FG4","face","kid","AF",9.27306616961789
"AlS07","rh","mFus-faces","FG4","face","kid","pAF",78.6113699906803
"AlS07","rh","mFus-faces","FG4","face","kid","VOF",6.29077353215284
"SM08","rh","mFus-faces","FG4","face","kid","IFOF",0
"SM08","rh","mFus-faces","FG4","face","kid","ILF",9.87903225806452
"SM08","rh","mFus-faces","FG4","face","kid","AF",10.6854838709677
"SM08","rh","mFus-faces","FG4","face","kid","pAF",79.4354838709677
"SM08","rh","mFus-faces","FG4","face","kid","VOF",0
"MDT09","rh","mFus-faces","FG4","face","kid","IFOF",0
"MDT09","rh","mFus-faces","FG4","face","kid","ILF",8.47058823529412
"MDT09","rh","mFus-faces","FG4","face","kid","AF",44.4705882352941
"MDT09","rh","mFus-faces","FG4","face","kid","pAF",46.4705882352941
"MDT09","rh","mFus-faces","FG4","face","kid","VOF",0.588235294117647
"GEJA09","rh","mFus-faces","FG4","face","kid","IFOF",0
"GEJA09","rh","mFus-faces","FG4","face","kid","ILF",4.10094637223975
"GEJA09","rh","mFus-faces","FG4","face","kid","AF",0.630914826498423
"GEJA09","rh","mFus-faces","FG4","face","kid","pAF",37.2239747634069
"GEJA09","rh","mFus-faces","FG4","face","kid","VOF",57.4132492113565
"AG10","rh","mFus-faces","FG4","face","kid","IFOF",0
"AG10","rh","mFus-faces","FG4","face","kid","ILF",5.30973451327434
"AG10","rh","mFus-faces","FG4","face","kid","AF",8.5277554304103
"AG10","rh","mFus-faces","FG4","face","kid","pAF",86.1625100563154
"AG10","rh","mFus-faces","FG4","face","kid","VOF",0
"STM10","rh","mFus-faces","FG4","face","kid","IFOF",0
"STM10","rh","mFus-faces","FG4","face","kid","ILF",10.4301075268817
"STM10","rh","mFus-faces","FG4","face","kid","AF",18.2795698924731
"STM10","rh","mFus-faces","FG4","face","kid","pAF",71.2365591397849
"STM10","rh","mFus-faces","FG4","face","kid","VOF",0.0537634408602151
"SERA10","rh","mFus-faces","FG4","face","kid","IFOF",0
"SERA10","rh","mFus-faces","FG4","face","kid","ILF",1.61630358397751
"SERA10","rh","mFus-faces","FG4","face","kid","AF",15.5305692199578
"SERA10","rh","mFus-faces","FG4","face","kid","pAF",79.550245959241
"SERA10","rh","mFus-faces","FG4","face","kid","VOF",3.30288123682361
"KW10","rh","mFus-faces","FG4","face","kid","IFOF",0
"KW10","rh","mFus-faces","FG4","face","kid","ILF",20.9558823529412
"KW10","rh","mFus-faces","FG4","face","kid","AF",7.35294117647059
"KW10","rh","mFus-faces","FG4","face","kid","pAF",63.6029411764706
"KW10","rh","mFus-faces","FG4","face","kid","VOF",7.72058823529412
"NW10","rh","mFus-faces","FG4","face","kid","IFOF",0
"NW10","rh","mFus-faces","FG4","face","kid","ILF",3.74574347332577
"NW10","rh","mFus-faces","FG4","face","kid","AF",16.0045402951192
"NW10","rh","mFus-faces","FG4","face","kid","pAF",80.249716231555
